
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057246.9437,8.00060844421387,139899.4375,-0.000000314301399,,
,3927057247.47609,8.00083351135254,139899.46875,-0.000000311197344,,
,3927057248.02207,8.00106906890869,139899.515625,-0.00000195709159,,
,3927057248.55959,8.00114822387695,139899.46875,-0.00000221361005,,
,3927057249.0973,8.00102615356445,139899.46875,-0.00000224365664,,
,3927057249.63279,8.00051307678223,139899.484375,-0.00000224899561,,
,3927057250.18515,8.00084495544434,139899.484375,-0.00000225607285,,
,3927057250.72656,8.00021743774414,139899.421875,-0.00000226799241,,
,3927057251.25856,7.99980974197388,139899.40625,-0.00000227606295,,
,3927057251.80007,7.99996566772461,139899.390625,-0.00000227705625,,
,3927057252.72865,7.99986410140991,139899.46875,-0.00000227146895,,
,3927057253.25919,8.00074577331543,139899.515625,-0.00000226761946,,
,3927057253.80268,8.00092697143555,139899.484375,-0.00000226016973,,
,3927057254.35206,8.00092697143555,139898.359375,-0.00000227866989,,
,3927057254.8843,8.0001859664917,139881.484375,-0.00000228127729,,
,3927057255.43242,8.00042724609375,139863.03125,-0.00000228512632,,
,3927057255.96472,8.00080585479736,139839.5625,-0.00000228264307,,
,3927057256.4968,8.00121307373047,139820.09375,-0.00000229220256,,
,3927057257.04112,8.0002555847168,139800.265625,-0.00000228922267,,
,3927057257.586,8.00032997131348,139776.625,-0.00000229034013,,
,3927057258.13412,7.99864912033081,139756.875,-0.00000229716905,,
,3927057258.67811,7.99855375289917,139737.125,-0.00000228934684,,
,3927057259.2053,7.99831628799438,139713.53125,-0.0000023038738,,
,3927057259.74061,7.99816656112671,139693.75,-0.00000229170592,,
,3927057260.30097,7.99770784378052,139670.03125,-0.00000161402943,,
,3927057260.84199,7.99783372879028,139650.578125,-0.000000451376155,,
,3927057261.45459,7.99939346313477,139626.78125,-0.000000373774885,,
,3927057261.98356,7.99964714050293,139603.03125,-0.000000325103368,,
,3927057262.59221,7.99964714050293,139583.34375,-0.000000335284654,,
,3927057263.1378,7.99993562698364,139559.5625,-0.000000327462448,,
,3927057263.68315,8.00032329559326,139539.953125,-0.000000328579906,,
,3927057264.2348,8.00012111663818,139516.359375,-0.000000327959096,,
,3927057264.81043,7.99986410140991,139496.5625,-0.000000328331582,,
,3927057265.40326,7.99984407424927,139472.859375,-0.000000328083258,,
,3927057265.95059,7.99913835525513,139449.21875,-0.000000327089961,,
,3927057266.50074,7.99908685684204,139425.53125,-0.000000334291352,,
,3927057267.04355,7.99946355819702,139406,-0.000000335781297,,
,3927057267.59446,7.99941968917847,139382.15625,-0.000000337147079,,
,3927057268.13577,7.99935913085938,139362.5,-0.000000314301266,,
,3927057268.68437,7.99951887130737,139338.6875,-0.000000334788,,
,3927057269.23112,7.99846267700195,139318.890625,-0.000000329076547,,
,3927057269.77681,7.99847173690796,139295.234375,-0.000000322620161,,
,3927057270.32509,7.99914216995239,139275.5625,-0.000000325600051,,
,3927057270.87435,7.99905252456665,139255.875,-0.000000331683992,,
,3927057271.40741,7.99913167953491,139232.078125,-0.000000326096699,,
,3927057271.9657,7.99924278259277,139212.171875,-0.000000323613458,,
,3927057272.51825,7.99973297119141,139192.390625,-0.000000333298099,,
,3927057273.06297,7.99990892410278,139168.953125,-0.00000201855019,,
,3927057273.60943,8.00022506713867,139145.34375,-0.0000022291291,,
,3927057274.14381,7.99982690811157,139125.578125,-0.0000022507333,,
,3927057274.69044,7.99979257583618,139101.859375,-0.00000227457243,,
,3927057275.23741,7.9994330406189,139082.125,-0.00000230213641,,
,3927057275.79729,7.9993896484375,139058.40625,-0.00000229940484,,
,3927057276.34656,7.99963521957397,139038.75,-0.00000230635771,,
,3927057276.9548,7.9992995262146,139018.984375,-0.00000229418982,,
,3927057277.50014,7.99977922439575,138991.515625,-0.0000023011429,,
,3927057278.08946,7.99981117248535,138971.40625,-0.00000229928047,,
,3927057278.63684,7.99945688247681,138947.65625,-0.00000228959583,,
,3927057279.18395,7.99949502944946,138928.21875,-0.00000229878382,,
,3927057279.73541,7.99893045425415,138904.71875,-0.00000229977699,,
,3927057280.32947,7.99918985366821,138880.9375,-0.0000023049918,,
,3927057280.88336,7.99864387512207,138861.09375,-0.00000227705533,,
,3927057281.39145,7.99781799316406,138837.34375,-0.00000229406554,,
,3927057281.92704,7.9977822303772,138817.515625,-0.00000229940451,,
,3927057282.46836,7.99842739105225,138798.234375,-0.00000229605213,,
,3927057283.03271,7.99842739105225,138778.5,-0.0000023020115,,
,3927057283.56661,8.00050926208496,138754.640625,-0.00000229605173,,
,3927057284.11099,8.00055980682373,138730.859375,-0.00000229418929,,
,3927057284.66011,8.00015640258789,138711.0625,-0.00000229394097,,
,3927057285.20555,7.99981641769409,138687.4375,-0.00000216890979,,
,3927057285.76817,7.99888563156128,138667.765625,-0.000000453362775,,
,3927057286.3816,7.99926519393921,138643.9375,-0.000000375140649,,
,3927057286.97012,7.99982690811157,138620.203125,-0.000000342734362,,
,3927057287.51854,8.00079917907715,138596.34375,-0.000000323861735,,
,3927057288.12783,8.00115871429443,138576.578125,-0.000000317777797,,
,3927057288.73744,8.00111770629883,138549.140625,-0.000000320136875,,
,3927057289.31389,8.00028610229492,138529.296875,-0.000000309583103,,
,3927057289.93882,7.99967241287231,138505.5625,-0.000000328952389,,
,3927057290.47285,8.00009441375732,138477.78125,-0.000000316039538,,
,3927057291.0232,8.00016021728516,138457.78125,-0.000000309831436,,
,3927057291.5662,8.00013160705566,138438.15625,-0.000000327710769,,
,3927057292.17632,8.00104236602783,138414.46875,-0.000000327214121,,
,3927057292.73636,8.00129890441895,138390.828125,-0.000000332180602,,
,3927057293.35969,8.00127792358398,138370.859375,-0.000000325475847,,
,3927057293.90734,7.99996566772461,138343.09375,-0.000000328207411,,
,3927057294.43109,8.00008678436279,138323.34375,-0.000000331932272,,
,3927057294.99734,8.00013542175293,138303.703125,-0.000000331683948,,
,3927057295.53228,7.9994158744812,138279.953125,-0.000000326841629,,
,3927057296.07329,7.99912881851196,138256.109375,-0.000000337271239,,
,3927057296.62572,7.99939346313477,138236.296875,-0.000000325972491,,
,3927057297.17589,7.99982309341431,138212.640625,-0.000000336526263,,
,3927057297.70185,7.99985361099243,138193.0625,-0.000000512712168,,
,3927057298.30605,7.99965238571167,138173.390625,-0.00000217673155,,
,3927057298.85465,7.99922800064087,138149.640625,-0.00000225408449,,
,3927057299.41611,7.99945688247681,138129.828125,-0.00000227568868,,
,3927057300.02005,7.99956512451172,138106.140625,-0.0000022755652,,
,3927057300.55319,8.00004577636719,138082.28125,-0.00000228040752,,
,3927057301.10226,7.99970674514771,138058.96875,-0.00000229828685,,
,3927057301.65923,8,138039.34375,-0.00000230288085,,
,3927057302.24637,8.00032997131348,138015.546875,-0.00000229841102,,
,3927057302.79723,8.00043964385986,137991.703125,-0.000002289968,,
,3927057303.31819,8.00012588500977,137971.953125,-0.00000230077009,,
,3927057303.86643,7.99954271316528,137952.234375,-0.00000229878369,,
,3927057304.40908,7.99891328811646,137928.71875,-0.00000229704542,,
,3927057305.01834,7.99884462356567,137908.90625,-0.00000230548845,,
,3927057305.55159,7.99916315078735,137885.09375,-0.00000228922321,,
,3927057306.09778,7.99956512451172,137861.296875,-0.00000229269975,,
,3927057306.67369,8.00055313110352,137841.578125,-0.00000231231736,,
,3927057307.21953,8.00091171264648,137818.0625,-0.00000230226024,,
,3927057307.75416,8.00172328948975,137794.421875,-0.00000230474349,,
,3927057308.30319,8.00106906890869,137778.53125,-0.00000229741792,,
,3927057308.84832,8.00092697143555,137754.796875,-0.00000229841122,,
,3927057309.39349,8.00020313262939,137734.859375,-0.00000229543133,,
,3927057310.01887,7.9998893737793,137711.171875,-0.00000229319641,,
,3927057310.59605,7.99990892410278,137683.65625,-0.000000562004572,,
,3927057311.20352,8.00009441375732,137663.984375,-0.000000387929378,,
,3927057311.79998,8.00036239624023,137640.0625,-0.000000361110376,,
,3927057312.35851,8.00053215026855,137616.3125,-0.00000035291568,,
,3927057312.90812,7.99976348876953,137592.46875,-0.000000339506179,,
,3927057313.46984,7.99933767318726,137572.984375,-0.000000337519586,,
,3927057314.01626,7.99861860275269,137549.234375,-0.000000340499459,,
,3927057314.55705,7.99834632873535,137529.375,-0.000000331187306,,
,3927057315.11171,7.99766731262207,137505.625,-0.000000331683954,,
,3927057315.65255,7.99854850769043,137485.890625,-0.000000339009514,,
,3927057316.19967,7.99923324584961,137466.171875,-0.000000330566496,,
,3927057316.78267,8.0001392364502,137442.625,-0.000000335284653,,
,3927057317.39608,8.00085067749023,137418.875,-0.000000352667339,,
,3927057317.94354,8.00057315826416,137395.125,-0.000000332801414,,
,3927057318.49584,7.99951505661011,137375.296875,-0.000000328579905,,
